county,population
Dunmanway,
Passage West,
Donegal Control,
Apollo House (Tara Street),
Gardiner Street,
Nth Cumberland Street,
Thomas Street,
Townsend Street,
Victoria Street,
Werburg Street,
Oughterard,
Kildare Town,
Callan,
Castlecomer,
Granard,
Clones,
Lismore,
Dublin County,47662
Cork County,17140
Galway County,10684
Donegal County,10540
Wexford County,9207
Kerry County,8209
Kildare County,8083
Louth County,7992
Limerick County,7880
Waterford County,7047
Mayo County,6922
Waterford City,5974
Limerick City,5932
Wicklow County,5600
Tallaght,5482
Galway City,5112
Clare County,5009
Westmeath County,4992
Meath County,4729
South Tipperary,4202
Newbridge,4084
Bishop Square,4040
Laoighis County,4014
Offaly County,3993
Cork Street,3842
North Tipperary,3841
Blanchardstown,3796
Dundalk,3656
Clondalkin,3501
Finglas,3487
Drogheda,3459
Tralee,3458
Carlow County,3448
Cork City (Abbeycourt),3349
Cork City (Hanover),3300
Dun Laoghaire,3270
Cavan County,3268
Letterkenny,3238
Wexford,3169
Kilkenny County,3145
Sligo County,2860
Cavan,2659
Maynooth,2590
Monaghan County,2572
Kilkenny,2571
Navan Road,2560
Mullingar,2551
Ennis,2522
Longford County,2511
Longford,2511
Kilbarrack,2433
Sligo,2401
Coolock,2399
Bray,2366
Swords,2353
Enniscorthy,2322
Navan,2300
Kings Inn Street,2260
Nutgrove (Rathfarnham),2197
Ballymun,2168
Roscommon County,2165
Balbriggan,2150
Gorey,2124
Portlaoise,2043
Carlow,1970
Ballina,1958
Athlone,1866
Buncrana,1818
Leitrim County,1767
Ballyfermot,1724
Tuam,1634
New Ross,1592
Killarney,1583
Trim,1570
Thurles,1563
Tullamore,1545
Nenagh,1531
Arklow,1530
Ballybofey,1479
Portarlington,1419
Athy,1409
Birr,1349
Clonmel,1348
Carrick-On-Shannon,1346
Midleton,1311
Listowel,1262
Castlebar,1248
Ballinasloe,1214
Monaghan,1187
Wicklow,1177
Mallow,1166
Loughrea,1163
Edenderry,1099
Dungarvan,1073
Newcastle West,1042
Dungloe,1015
Fermoy,1008
Castlerea,982
Ballyshannon,979
Ennistymon,974
Newmarket,953
Kilmallock,906
Westport,889
Ardee,877
Swinford,875
Tipperary,862
Kells,859
Carrick-On-Suir,855
Kilrush,853
Youghal,835
Tullow,803
Gort,786
Clifden,775
Castleblayney,768
Carrigaline,757
Roscrea,747
Dunfanaghy,741
Macroom,731
Claremorris,724
Clonakilty,707
Donegal,700
Roscommon,686
Muine Bheag (Bagenalstown),675
Skibbereen,664
Tulla,660
Killorglin,627
Carrickmacross,617
Ballyconnell,609
Bandon,603
Dingle,585
Cahir,578
Castlepollard,575
Thomastown,574
Killybegs,570
Bantry,560
Cashel,559
Rathdowney,552
Kinsale,528
Baltinglass,527
Cobh,503
Ballinrobe,500
Boyle,497
Belmullet,471
Tubbercurry,459
Manorhamilton,421
Caherciveen,366
Kenmare,328
Achill,257
Bantry (SWLO),165
Bailieboro,
Belturbet,
Castletownbere,
Cork City,
Blessington,
